Region,Age,2010 Person By Age
Alameda County,Age 0,19010
Alameda County,Age 1,19434
Alameda County,Age 2,20168
Alameda County,Age 3,19655
Alameda County,Age 4,19385
Alameda County,Age 5,19300
Alameda County,Age 6,19248
Alameda County,Age 7,18777
Alameda County,Age 8,18454
Alameda County,Age 9,18767
Alameda County,Age 10,18236
Alameda County,Age 11,17928
Alameda County,Age 12,18095
Alameda County,Age 13,18269
Alameda County,Age 14,18542
Alameda County,Age 15,18855
Alameda County,Age 16,19119
Alameda County,Age 17,19379
Alameda County,Age 18,21152
Alameda County,Age 19,21889
Alameda County,Age 20,22175
Alameda County,Age 21,21906
Alameda County,Age 22,20984
Alameda County,Age 23,20809
Alameda County,Age 24,21175
Alameda County,Age 25,22504
Alameda County,Age 26,21895
Alameda County,Age 27,22741
Alameda County,Age 28,23445
Alameda County,Age 29,23012
Alameda County,Age 30,25456
Alameda County,Age 31,21823
Alameda County,Age 32,22721
Alameda County,Age 33,22194
Alameda County,Age 34,22413
Alameda County,Age 35,23959
Alameda County,Age 36,21955
Alameda County,Age 37,22655
Alameda County,Age 38,22781
Alameda County,Age 39,23925
Alameda County,Age 40,25499
Alameda County,Age 41,22347
Alameda County,Age 42,21673
Alameda County,Age 43,21164
Alameda County,Age 44,21533
Alameda County,Age 45,23618
Alameda County,Age 46,22888
Alameda County,Age 47,22902
Alameda County,Age 48,22368
Alameda County,Age 49,22335
Alameda County,Age 50,23403
Alameda County,Age 51,21538
Alameda County,Age 52,21944
Alameda County,Age 53,20877
Alameda County,Age 54,20744
Alameda County,Age 55,21107
Alameda County,Age 56,19197
Alameda County,Age 57,19016
Alameda County,Age 58,18141
Alameda County,Age 59,17187
Alameda County,Age 60,17990
Alameda County,Age 61,16479
Alameda County,Age 62,16370
Alameda County,Age 63,15697
Alameda County,Age 64,12318
Alameda County,Age 65,12554
Alameda County,Age 66,11080
Alameda County,Age 67,10897
Alameda County,Age 68,9407
Alameda County,Age 69,8725
Alameda County,Age 70,8717
Alameda County,Age 71,7869
Alameda County,Age 72,7459
Alameda County,Age 73,7000
Alameda County,Age 74,6729
Alameda County,Age 75,6586
Alameda County,Age 76,5973
Alameda County,Age 77,5796
Alameda County,Age 78,5530
Alameda County,Age 79,5300
Alameda County,Age 80,5274
Alameda County,Age 81,4726
Alameda County,Age 82,4626
Alameda County,Age 83,4458
Alameda County,Age 84,4307
Alameda County,Age 85,3967
Alameda County,Age 86,3619
Alameda County,Age 87,3213
Alameda County,Age 88,2835
Alameda County,Age 89,2451
Alameda County,Age 90,2015
Alameda County,Age 91,1442
Alameda County,Age 92,1271
Alameda County,Age 93,996
Alameda County,Age 94,803
Alameda County,Age 95,617
Alameda County,Age 96,489
Alameda County,Age 97,365
Alameda County,Age 98,225
Alameda County,Age 99,150
Alameda County,Ages 100+,275
Contra Costa County,Age 0,12473
Contra Costa County,Age 1,12764
Contra Costa County,Age 2,13586
Contra Costa County,Age 3,14269
Contra Costa County,Age 4,13926
Contra Costa County,Age 5,14275
Contra Costa County,Age 6,14427
Contra Costa County,Age 7,14362
Contra Costa County,Age 8,14443
Contra Costa County,Age 9,14778
Contra Costa County,Age 10,14831
Contra Costa County,Age 11,14583
Contra Costa County,Age 12,14785
Contra Costa County,Age 13,15007
Contra Costa County,Age 14,15238
Contra Costa County,Age 15,15368
Contra Costa County,Age 16,15725
Contra Costa County,Age 17,15665
Contra Costa County,Age 18,14277
Contra Costa County,Age 19,12731
Contra Costa County,Age 20,12513
Contra Costa County,Age 21,11473
Contra Costa County,Age 22,11638
Contra Costa County,Age 23,11879
Contra Costa County,Age 24,12440
Contra Costa County,Age 25,12916
Contra Costa County,Age 26,12629
Contra Costa County,Age 27,13004
Contra Costa County,Age 28,13105
Contra Costa County,Age 29,13093
Contra Costa County,Age 30,13778
Contra Costa County,Age 31,12501
Contra Costa County,Age 32,12909
Contra Costa County,Age 33,12797
Contra Costa County,Age 34,12911
Contra Costa County,Age 35,13818
Contra Costa County,Age 36,13358
Contra Costa County,Age 37,13765
Contra Costa County,Age 38,14135
Contra Costa County,Age 39,15444
Contra Costa County,Age 40,16622
Contra Costa County,Age 41,15349
Contra Costa County,Age 42,15392
Contra Costa County,Age 43,15160
Contra Costa County,Age 44,15607
Contra Costa County,Age 45,16918
Contra Costa County,Age 46,16754
Contra Costa County,Age 47,16834
Contra Costa County,Age 48,16677
Contra Costa County,Age 49,16823
Contra Costa County,Age 50,17240
Contra Costa County,Age 51,15835
Contra Costa County,Age 52,15965
Contra Costa County,Age 53,15732
Contra Costa County,Age 54,15302
Contra Costa County,Age 55,15308
Contra Costa County,Age 56,14164
Contra Costa County,Age 57,13934
Contra Costa County,Age 58,13216
Contra Costa County,Age 59,12778
Contra Costa County,Age 60,13010
Contra Costa County,Age 61,12135
Contra Costa County,Age 62,12593
Contra Costa County,Age 63,12114
Contra Costa County,Age 64,9506
Contra Costa County,Age 65,9331
Contra Costa County,Age 66,8885
Contra Costa County,Age 67,8639
Contra Costa County,Age 68,7496
Contra Costa County,Age 69,6925
Contra Costa County,Age 70,6756
Contra Costa County,Age 71,6188
Contra Costa County,Age 72,5949
Contra Costa County,Age 73,5393
Contra Costa County,Age 74,5157
Contra Costa County,Age 75,4953
Contra Costa County,Age 76,4439
Contra Costa County,Age 77,4515
Contra Costa County,Age 78,4198
Contra Costa County,Age 79,4278
Contra Costa County,Age 80,4138
Contra Costa County,Age 81,3644
Contra Costa County,Age 82,3630
Contra Costa County,Age 83,3380
Contra Costa County,Age 84,3172
Contra Costa County,Age 85,3042
Contra Costa County,Age 86,2851
Contra Costa County,Age 87,2559
Contra Costa County,Age 88,2280
Contra Costa County,Age 89,1933
Contra Costa County,Age 90,1595
Contra Costa County,Age 91,1194
Contra Costa County,Age 92,1018
Contra Costa County,Age 93,754
Contra Costa County,Age 94,609
Contra Costa County,Age 95,444
Contra Costa County,Age 96,366
Contra Costa County,Age 97,257
Contra Costa County,Age 98,160
Contra Costa County,Age 99,119
Contra Costa County,Ages 100+,191
Marin County,Age 0,2503
Marin County,Age 1,2653
Marin County,Age 2,2922
Marin County,Age 3,2878
Marin County,Age 4,2976
Marin County,Age 5,3139
Marin County,Age 6,3128
Marin County,Age 7,3159
Marin County,Age 8,3014
Marin County,Age 9,3041
Marin County,Age 10,2957
Marin County,Age 11,2802
Marin County,Age 12,2807
Marin County,Age 13,2812
Marin County,Age 14,2863
Marin County,Age 15,2851
Marin County,Age 16,2857
Marin County,Age 17,2852
Marin County,Age 18,2407
Marin County,Age 19,1831
Marin County,Age 20,1916
Marin County,Age 21,1850
Marin County,Age 22,2134
Marin County,Age 23,2165
Marin County,Age 24,2243
Marin County,Age 25,2340
Marin County,Age 26,2300
Marin County,Age 27,2410
Marin County,Age 28,2434
Marin County,Age 29,2476
Marin County,Age 30,2641
Marin County,Age 31,2407
Marin County,Age 32,2568
Marin County,Age 33,2619
Marin County,Age 34,2641
Marin County,Age 35,2974
Marin County,Age 36,2998
Marin County,Age 37,3188
Marin County,Age 38,3373
Marin County,Age 39,3843
Marin County,Age 40,4214
Marin County,Age 41,3942
Marin County,Age 42,3918
Marin County,Age 43,3917
Marin County,Age 44,4111
Marin County,Age 45,4227
Marin County,Age 46,4028
Marin County,Age 47,4211
Marin County,Age 48,4104
Marin County,Age 49,4401
Marin County,Age 50,4379
Marin County,Age 51,4192
Marin County,Age 52,4277
Marin County,Age 53,4027
Marin County,Age 54,4209
Marin County,Age 55,4197
Marin County,Age 56,4243
Marin County,Age 57,4309
Marin County,Age 58,4059
Marin County,Age 59,4018
Marin County,Age 60,4036
Marin County,Age 61,3839
Marin County,Age 62,4055
Marin County,Age 63,4072
Marin County,Age 64,3260
Marin County,Age 65,3215
Marin County,Age 66,3071
Marin County,Age 67,3075
Marin County,Age 68,2557
Marin County,Age 69,2119
Marin County,Age 70,2131
Marin County,Age 71,2032
Marin County,Age 72,1794
Marin County,Age 73,1667
Marin County,Age 74,1550
Marin County,Age 75,1535
Marin County,Age 76,1329
Marin County,Age 77,1356
Marin County,Age 78,1276
Marin County,Age 79,1341
Marin County,Age 80,1261
Marin County,Age 81,1188
Marin County,Age 82,1124
Marin County,Age 83,994
Marin County,Age 84,1021
Marin County,Age 85,987
Marin County,Age 86,908
Marin County,Age 87,828
Marin County,Age 88,760
Marin County,Age 89,682
Marin County,Age 90,554
Marin County,Age 91,432
Marin County,Age 92,337
Marin County,Age 93,277
Marin County,Age 94,244
Marin County,Age 95,177
Marin County,Age 96,120
Marin County,Age 97,81
Marin County,Age 98,68
Marin County,Age 99,34
Marin County,Ages 100+,67
Napa County,Age 0,1564
Napa County,Age 1,1603
Napa County,Age 2,1574
Napa County,Age 3,1653
Napa County,Age 4,1737
Napa County,Age 5,1712
Napa County,Age 6,1723
Napa County,Age 7,1697
Napa County,Age 8,1685
Napa County,Age 9,1759
Napa County,Age 10,1746
Napa County,Age 11,1757
Napa County,Age 12,1871
Napa County,Age 13,1856
Napa County,Age 14,1810
Napa County,Age 15,1891
Napa County,Age 16,1918
Napa County,Age 17,1930
Napa County,Age 18,1958
Napa County,Age 19,1776
Napa County,Age 20,1760
Napa County,Age 21,1625
Napa County,Age 22,1582
Napa County,Age 23,1650
Napa County,Age 24,1672
Napa County,Age 25,1776
Napa County,Age 26,1641
Napa County,Age 27,1731
Napa County,Age 28,1706
Napa County,Age 29,1665
Napa County,Age 30,1776
Napa County,Age 31,1628
Napa County,Age 32,1623
Napa County,Age 33,1611
Napa County,Age 34,1598
Napa County,Age 35,1668
Napa County,Age 36,1665
Napa County,Age 37,1711
Napa County,Age 38,1672
Napa County,Age 39,1810
Napa County,Age 40,1975
Napa County,Age 41,1809
Napa County,Age 42,1849
Napa County,Age 43,1820
Napa County,Age 44,1872
Napa County,Age 45,1936
Napa County,Age 46,2007
Napa County,Age 47,1986
Napa County,Age 48,1959
Napa County,Age 49,2049
Napa County,Age 50,2115
Napa County,Age 51,1900
Napa County,Age 52,2026
Napa County,Age 53,1993
Napa County,Age 54,1961
Napa County,Age 55,1990
Napa County,Age 56,1860
Napa County,Age 57,1924
Napa County,Age 58,1821
Napa County,Age 59,1828
Napa County,Age 60,1823
Napa County,Age 61,1633
Napa County,Age 62,1831
Napa County,Age 63,1772
Napa County,Age 64,1361
Napa County,Age 65,1377
Napa County,Age 66,1312
Napa County,Age 67,1296
Napa County,Age 68,1133
Napa County,Age 69,1043
Napa County,Age 70,942
Napa County,Age 71,904
Napa County,Age 72,898
Napa County,Age 73,820
Napa County,Age 74,797
Napa County,Age 75,860
Napa County,Age 76,665
Napa County,Age 77,747
Napa County,Age 78,703
Napa County,Age 79,653
Napa County,Age 80,657
Napa County,Age 81,586
Napa County,Age 82,576
Napa County,Age 83,572
Napa County,Age 84,557
Napa County,Age 85,483
Napa County,Age 86,495
Napa County,Age 87,440
Napa County,Age 88,422
Napa County,Age 89,361
Napa County,Age 90,307
Napa County,Age 91,234
Napa County,Age 92,212
Napa County,Age 93,152
Napa County,Age 94,122
Napa County,Age 95,79
Napa County,Age 96,55
Napa County,Age 97,47
Napa County,Age 98,31
Napa County,Age 99,30
Napa County,Ages 100+,26
San Francisco County,Age 0,7819
San Francisco County,Age 1,7391
San Francisco County,Age 2,7199
San Francisco County,Age 3,6585
San Francisco County,Age 4,6209
San Francisco County,Age 5,6137
San Francisco County,Age 6,5864
San Francisco County,Age 7,5680
San Francisco County,Age 8,5191
San Francisco County,Age 9,5590
San Francisco County,Age 10,5311
San Francisco County,Age 11,5096
San Francisco County,Age 12,5138
San Francisco County,Age 13,5420
San Francisco County,Age 14,5334
San Francisco County,Age 15,5808
San Francisco County,Age 16,5793
San Francisco County,Age 17,5959
San Francisco County,Age 18,8061
San Francisco County,Age 19,8985
San Francisco County,Age 20,9338
San Francisco County,Age 21,9832
San Francisco County,Age 22,11534
San Francisco County,Age 23,14033
San Francisco County,Age 24,15881
San Francisco County,Age 25,17299
San Francisco County,Age 26,17336
San Francisco County,Age 27,17937
San Francisco County,Age 28,17912
San Francisco County,Age 29,17672
San Francisco County,Age 30,18000
San Francisco County,Age 31,16080
San Francisco County,Age 32,15988
San Francisco County,Age 33,15284
San Francisco County,Age 34,14612
San Francisco County,Age 35,15002
San Francisco County,Age 36,14004
San Francisco County,Age 37,13815
San Francisco County,Age 38,13619
San Francisco County,Age 39,14373
San Francisco County,Age 40,14803
San Francisco County,Age 41,12791
San Francisco County,Age 42,12059
San Francisco County,Age 43,11556
San Francisco County,Age 44,11660
San Francisco County,Age 45,12203
San Francisco County,Age 46,11861
San Francisco County,Age 47,11722
San Francisco County,Age 48,10964
San Francisco County,Age 49,10827
San Francisco County,Age 50,11336
San Francisco County,Age 51,10656
San Francisco County,Age 52,10884
San Francisco County,Age 53,10782
San Francisco County,Age 54,10572
San Francisco County,Age 55,10988
San Francisco County,Age 56,10432
San Francisco County,Age 57,10352
San Francisco County,Age 58,9892
San Francisco County,Age 59,10044
San Francisco County,Age 60,10562
San Francisco County,Age 61,9552
San Francisco County,Age 62,9239
San Francisco County,Age 63,8595
San Francisco County,Age 64,6940
San Francisco County,Age 65,6861
San Francisco County,Age 66,6102
San Francisco County,Age 67,5990
San Francisco County,Age 68,5408
San Francisco County,Age 69,5419
San Francisco County,Age 70,5291
San Francisco County,Age 71,4997
San Francisco County,Age 72,4967
San Francisco County,Age 73,4761
San Francisco County,Age 74,4526
San Francisco County,Age 75,4435
San Francisco County,Age 76,4323
San Francisco County,Age 77,4135
San Francisco County,Age 78,3900
San Francisco County,Age 79,4046
San Francisco County,Age 80,3839
San Francisco County,Age 81,3574
San Francisco County,Age 82,3530
San Francisco County,Age 83,3288
San Francisco County,Age 84,2959
San Francisco County,Age 85,2865
San Francisco County,Age 86,2480
San Francisco County,Age 87,2199
San Francisco County,Age 88,1917
San Francisco County,Age 89,1648
San Francisco County,Age 90,1420
San Francisco County,Age 91,1026
San Francisco County,Age 92,873
San Francisco County,Age 93,760
San Francisco County,Age 94,655
San Francisco County,Age 95,431
San Francisco County,Age 96,370
San Francisco County,Age 97,270
San Francisco County,Age 98,200
San Francisco County,Age 99,129
San Francisco County,Ages 100+,248
San Mateo County,Age 0,9262
San Mateo County,Age 1,9122
San Mateo County,Age 2,9306
San Mateo County,Age 3,9307
San Mateo County,Age 4,9363
San Mateo County,Age 5,9197
San Mateo County,Age 6,9084
San Mateo County,Age 7,8922
San Mateo County,Age 8,8751
San Mateo County,Age 9,8775
San Mateo County,Age 10,8701
San Mateo County,Age 11,8442
San Mateo County,Age 12,8346
San Mateo County,Age 13,8455
San Mateo County,Age 14,8519
San Mateo County,Age 15,8591
San Mateo County,Age 16,8668
San Mateo County,Age 17,8961
San Mateo County,Age 18,7888
San Mateo County,Age 19,7141
San Mateo County,Age 20,7356
San Mateo County,Age 21,7296
San Mateo County,Age 22,7933
San Mateo County,Age 23,8581
San Mateo County,Age 24,8932
San Mateo County,Age 25,9300
San Mateo County,Age 26,9472
San Mateo County,Age 27,9793
San Mateo County,Age 28,9822
San Mateo County,Age 29,9933
San Mateo County,Age 30,10666
San Mateo County,Age 31,9978
San Mateo County,Age 32,10125
San Mateo County,Age 33,10173
San Mateo County,Age 34,10072
San Mateo County,Age 35,10505
San Mateo County,Age 36,10264
San Mateo County,Age 37,10503
San Mateo County,Age 38,10784
San Mateo County,Age 39,11302
San Mateo County,Age 40,11954
San Mateo County,Age 41,10864
San Mateo County,Age 42,10604
San Mateo County,Age 43,10598
San Mateo County,Age 44,10722
San Mateo County,Age 45,11417
San Mateo County,Age 46,11335
San Mateo County,Age 47,11294
San Mateo County,Age 48,11088
San Mateo County,Age 49,11290
San Mateo County,Age 50,11333
San Mateo County,Age 51,10881
San Mateo County,Age 52,10871
San Mateo County,Age 53,10678
San Mateo County,Age 54,10482
San Mateo County,Age 55,10572
San Mateo County,Age 56,9663
San Mateo County,Age 57,9662
San Mateo County,Age 58,9043
San Mateo County,Age 59,8925
San Mateo County,Age 60,9248
San Mateo County,Age 61,8688
San Mateo County,Age 62,8498
San Mateo County,Age 63,8406
San Mateo County,Age 64,6482
San Mateo County,Age 65,6430
San Mateo County,Age 66,6092
San Mateo County,Age 67,5828
San Mateo County,Age 68,5199
San Mateo County,Age 69,4936
San Mateo County,Age 70,4822
San Mateo County,Age 71,4562
San Mateo County,Age 72,4312
San Mateo County,Age 73,4033
San Mateo County,Age 74,3771
San Mateo County,Age 75,3544
San Mateo County,Age 76,3470
San Mateo County,Age 77,3327
San Mateo County,Age 78,3214
San Mateo County,Age 79,3333
San Mateo County,Age 80,3192
San Mateo County,Age 81,2878
San Mateo County,Age 82,2814
San Mateo County,Age 83,2704
San Mateo County,Age 84,2497
San Mateo County,Age 85,2478
San Mateo County,Age 86,2151
San Mateo County,Age 87,1909
San Mateo County,Age 88,1823
San Mateo County,Age 89,1603
San Mateo County,Age 90,1245
San Mateo County,Age 91,934
San Mateo County,Age 92,775
San Mateo County,Age 93,606
San Mateo County,Age 94,508
San Mateo County,Age 95,372
San Mateo County,Age 96,297
San Mateo County,Age 97,221
San Mateo County,Age 98,136
San Mateo County,Age 99,79
San Mateo County,Ages 100+,167
Santa Clara County,Age 0,23751
Santa Clara County,Age 1,24513
Santa Clara County,Age 2,25497
Santa Clara County,Age 3,25600
Santa Clara County,Age 4,25103
Santa Clara County,Age 5,24793
Santa Clara County,Age 6,24934
Santa Clara County,Age 7,24408
Santa Clara County,Age 8,23496
Santa Clara County,Age 9,24297
Santa Clara County,Age 10,23097
Santa Clara County,Age 11,22810
Santa Clara County,Age 12,22562
Santa Clara County,Age 13,22557
Santa Clara County,Age 14,22544
Santa Clara County,Age 15,22946
Santa Clara County,Age 16,23342
Santa Clara County,Age 17,23295
Santa Clara County,Age 18,22531
Santa Clara County,Age 19,22430
Santa Clara County,Age 20,22098
Santa Clara County,Age 21,21755
Santa Clara County,Age 22,22129
Santa Clara County,Age 23,22892
Santa Clara County,Age 24,24243
Santa Clara County,Age 25,25931
Santa Clara County,Age 26,26374
Santa Clara County,Age 27,27041
Santa Clara County,Age 28,27245
Santa Clara County,Age 29,26953
Santa Clara County,Age 30,28247
Santa Clara County,Age 31,26321
Santa Clara County,Age 32,26988
Santa Clara County,Age 33,27001
Santa Clara County,Age 34,27465
Santa Clara County,Age 35,28260
Santa Clara County,Age 36,27408
Santa Clara County,Age 37,27981
Santa Clara County,Age 38,28187
Santa Clara County,Age 39,28914
Santa Clara County,Age 40,29795
Santa Clara County,Age 41,27769
Santa Clara County,Age 42,27039
Santa Clara County,Age 43,26287
Santa Clara County,Age 44,26729
Santa Clara County,Age 45,28196
Santa Clara County,Age 46,27747
Santa Clara County,Age 47,27885
Santa Clara County,Age 48,27021
Santa Clara County,Age 49,27269
Santa Clara County,Age 50,27152
Santa Clara County,Age 51,25299
Santa Clara County,Age 52,25050
Santa Clara County,Age 53,24353
Santa Clara County,Age 54,23622
Santa Clara County,Age 55,22836
Santa Clara County,Age 56,21257
Santa Clara County,Age 57,20472
Santa Clara County,Age 58,19047
Santa Clara County,Age 59,18801
Santa Clara County,Age 60,18429
Santa Clara County,Age 61,17386
Santa Clara County,Age 62,16980
Santa Clara County,Age 63,16825
Santa Clara County,Age 64,13513
Santa Clara County,Age 65,13474
Santa Clara County,Age 66,12735
Santa Clara County,Age 67,12758
Santa Clara County,Age 68,11206
Santa Clara County,Age 69,10404
Santa Clara County,Age 70,10087
Santa Clara County,Age 71,9656
Santa Clara County,Age 72,9391
Santa Clara County,Age 73,8621
Santa Clara County,Age 74,8189
Santa Clara County,Age 75,7875
Santa Clara County,Age 76,7175
Santa Clara County,Age 77,7123
Santa Clara County,Age 78,6749
Santa Clara County,Age 79,6744
Santa Clara County,Age 80,6212
Santa Clara County,Age 81,5620
Santa Clara County,Age 82,5401
Santa Clara County,Age 83,5097
Santa Clara County,Age 84,4952
Santa Clara County,Age 85,4394
Santa Clara County,Age 86,4077
Santa Clara County,Age 87,3624
Santa Clara County,Age 88,3218
Santa Clara County,Age 89,2804
Santa Clara County,Age 90,2234
Santa Clara County,Age 91,1746
Santa Clara County,Age 92,1373
Santa Clara County,Age 93,1056
Santa Clara County,Age 94,829
Santa Clara County,Age 95,661
Santa Clara County,Age 96,478
Santa Clara County,Age 97,353
Santa Clara County,Age 98,247
Santa Clara County,Age 99,141
Santa Clara County,Ages 100+,240
Solano County,Age 0,5140
Solano County,Age 1,5361
Solano County,Age 2,5477
Solano County,Age 3,5511
Solano County,Age 4,5363
Solano County,Age 5,5384
Solano County,Age 6,5331
Solano County,Age 7,5447
Solano County,Age 8,5531
Solano County,Age 9,5618
Solano County,Age 10,5475
Solano County,Age 11,5720
Solano County,Age 12,5800
Solano County,Age 13,5780
Solano County,Age 14,5800
Solano County,Age 15,6104
Solano County,Age 16,6305
Solano County,Age 17,6388
Solano County,Age 18,5988
Solano County,Age 19,5699
Solano County,Age 20,6012
Solano County,Age 21,5695
Solano County,Age 22,5710
Solano County,Age 23,5648
Solano County,Age 24,5696
Solano County,Age 25,5851
Solano County,Age 26,5677
Solano County,Age 27,5767
Solano County,Age 28,5598
Solano County,Age 29,5703
Solano County,Age 30,5632
Solano County,Age 31,5147
Solano County,Age 32,5276
Solano County,Age 33,5237
Solano County,Age 34,5026
Solano County,Age 35,4999
Solano County,Age 36,5042
Solano County,Age 37,5110
Solano County,Age 38,5391
Solano County,Age 39,5813
Solano County,Age 40,5694
Solano County,Age 41,5496
Solano County,Age 42,5489
Solano County,Age 43,5530
Solano County,Age 44,5859
Solano County,Age 45,6167
Solano County,Age 46,6381
Solano County,Age 47,6438
Solano County,Age 48,6459
Solano County,Age 49,6501
Solano County,Age 50,6743
Solano County,Age 51,6232
Solano County,Age 52,6392
Solano County,Age 53,6370
Solano County,Age 54,6267
Solano County,Age 55,6112
Solano County,Age 56,5668
Solano County,Age 57,5862
Solano County,Age 58,5275
Solano County,Age 59,5092
Solano County,Age 60,5083
Solano County,Age 61,4905
Solano County,Age 62,4819
Solano County,Age 63,4788
Solano County,Age 64,3623
Solano County,Age 65,3485
Solano County,Age 66,3284
Solano County,Age 67,3110
Solano County,Age 68,2681
Solano County,Age 69,2471
Solano County,Age 70,2478
Solano County,Age 71,2322
Solano County,Age 72,2262
Solano County,Age 73,1959
Solano County,Age 74,1945
Solano County,Age 75,1927
Solano County,Age 76,1755
Solano County,Age 77,1812
Solano County,Age 78,1516
Solano County,Age 79,1574
Solano County,Age 80,1499
Solano County,Age 81,1309
Solano County,Age 82,1263
Solano County,Age 83,1172
Solano County,Age 84,1011
Solano County,Age 85,1045
Solano County,Age 86,914
Solano County,Age 87,813
Solano County,Age 88,720
Solano County,Age 89,598
Solano County,Age 90,482
Solano County,Age 91,354
Solano County,Age 92,301
Solano County,Age 93,214
Solano County,Age 94,180
Solano County,Age 95,101
Solano County,Age 96,101
Solano County,Age 97,68
Solano County,Age 98,52
Solano County,Age 99,28
Solano County,Ages 100+,41
Sonoma County,Age 0,5463
Sonoma County,Age 1,5504
Sonoma County,Age 2,5573
Sonoma County,Age 3,5945
Sonoma County,Age 4,5714
Sonoma County,Age 5,5865
Sonoma County,Age 6,5881
Sonoma County,Age 7,5858
Sonoma County,Age 8,5776
Sonoma County,Age 9,5883
Sonoma County,Age 10,5809
Sonoma County,Age 11,5905
Sonoma County,Age 12,5881
Sonoma County,Age 13,6127
Sonoma County,Age 14,6002
Sonoma County,Age 15,6209
Sonoma County,Age 16,6415
Sonoma County,Age 17,6661
Sonoma County,Age 18,6975
Sonoma County,Age 19,7038
Sonoma County,Age 20,6800
Sonoma County,Age 21,6515
Sonoma County,Age 22,6240
Sonoma County,Age 23,6141
Sonoma County,Age 24,6372
Sonoma County,Age 25,6350
Sonoma County,Age 26,6219
Sonoma County,Age 27,6483
Sonoma County,Age 28,6358
Sonoma County,Age 29,6320
Sonoma County,Age 30,6519
Sonoma County,Age 31,5811
Sonoma County,Age 32,5898
Sonoma County,Age 33,5767
Sonoma County,Age 34,5572
Sonoma County,Age 35,5709
Sonoma County,Age 36,5391
Sonoma County,Age 37,5637
Sonoma County,Age 38,5874
Sonoma County,Age 39,6357
Sonoma County,Age 40,6821
Sonoma County,Age 41,6184
Sonoma County,Age 42,6177
Sonoma County,Age 43,6126
Sonoma County,Age 44,6327
Sonoma County,Age 45,7040
Sonoma County,Age 46,7066
Sonoma County,Age 47,7287
Sonoma County,Age 48,7191
Sonoma County,Age 49,7512
Sonoma County,Age 50,7630
Sonoma County,Age 51,7280
Sonoma County,Age 52,7660
Sonoma County,Age 53,7431
Sonoma County,Age 54,7421
Sonoma County,Age 55,7495
Sonoma County,Age 56,7387
Sonoma County,Age 57,7351
Sonoma County,Age 58,7143
Sonoma County,Age 59,6979
Sonoma County,Age 60,6980
Sonoma County,Age 61,6836
Sonoma County,Age 62,6781
Sonoma County,Age 63,6664
Sonoma County,Age 64,4928
Sonoma County,Age 65,5021
Sonoma County,Age 66,4624
Sonoma County,Age 67,4463
Sonoma County,Age 68,3902
Sonoma County,Age 69,3397
Sonoma County,Age 70,3197
Sonoma County,Age 71,3030
Sonoma County,Age 72,2839
Sonoma County,Age 73,2605
Sonoma County,Age 74,2466
Sonoma County,Age 75,2452
Sonoma County,Age 76,2131
Sonoma County,Age 77,2093
Sonoma County,Age 78,2203
Sonoma County,Age 79,2096
Sonoma County,Age 80,2134
Sonoma County,Age 81,2003
Sonoma County,Age 82,1927
Sonoma County,Age 83,1848
Sonoma County,Age 84,1727
Sonoma County,Age 85,1691
Sonoma County,Age 86,1593
Sonoma County,Age 87,1395
Sonoma County,Age 88,1369
Sonoma County,Age 89,1218
Sonoma County,Age 90,906
Sonoma County,Age 91,709
Sonoma County,Age 92,565
Sonoma County,Age 93,467
Sonoma County,Age 94,345
Sonoma County,Age 95,290
Sonoma County,Age 96,217
Sonoma County,Age 97,138
Sonoma County,Age 98,117
Sonoma County,Age 99,75
Sonoma County,Ages 100+,111
